,number,rate,title,url,id,directors,year,actors,type,countries,summary
395,396,8.9,海蒂和爷爷,https://movie.douban.com/subject/25958717/,25958717,阿兰·葛斯彭纳,2015,"阿努克·斯特芬,安娜·申茨,莉莲·奈福,布鲁诺·甘茨","剧情,家庭",德国,"海蒂（阿努克·斯戴芬 Anuk Steffen 饰）很小就失去了父母，无依无靠伶仃飘零，所幸得到了姨妈的收留，然而，这照顾却不能够持久，最终，海蒂来到了阿尔卑斯山，投奔住在那里的爷爷（布鲁诺·甘茨 Bruno Ganz 饰）。在村民们眼中，爷爷是个倔强而又古怪的老头，对其敬而远之，然而海蒂那双天真无邪的眼睛发现了爷爷深藏在内心的柔情，一老一少两人卸下心防，相依为命。
一个名为皮特放羊男孩成为了海蒂的新朋友，两人之间结下的深厚的友谊。可是好景不长，海蒂被迫离开了爷爷和皮特，来到了富家小姐克劳拉（伊莎贝尔·奥特曼 Isabelle Ottmann 饰）家中，做她的玩伴。克劳拉的双腿生来不能行走，个性亦因此而内向怪癖，海蒂的到来替她打开了新世界的大门，找回了久违的快乐。©豆瓣"
396,397,5.1,当女人沉睡时,https://movie.douban.com/subject/26528968/,26528968,王颖,2016,"北野武,西岛秀俊,忽那汐里,小山田小百合",剧情,日本,"位于某海滨的高级酒店，迎来了小有名气作家清水健二（西岛秀俊 饰）和他的妻子（小山田小百合 饰）。清水凭借处女作享誉文坛，然而第二部作品反响平平，而今更陷入创作瓶颈。与此同时，他与妻子貌合神离，彼此日渐疏远。在此期间，他偶然注意到一对有些惹眼且奇怪的男女。貌不惊人的中年男子佐原（北野武 饰）与清纯靓丽的年轻女孩美树（忽那汐里 饰）相伴，几多暧昧，几多情欲，令人不免想入非非。出于好奇，清水尝试接近对方，他发现佐原许多年来一直都在拍摄美树睡着后的样子，画面中充满了欣赏与迷恋。对方的秘密令清水深陷其中……
本片根据西班牙著名作家哈维尔·马里亚斯（Javier Marias）的同名短篇小说《While the Woman Are Sleeping》改编。©豆瓣"
397,398,6.7,爱情与友谊,https://movie.douban.com/subject/25851799/,25851799,惠特·斯蒂尔曼,2016,"凯特·贝金赛尔,科洛·塞维尼,泽维尔·塞缪尔,斯蒂芬·弗雷","喜剧,爱情",爱尔兰,改编自Jane Austen书信体小说Lady Susan，讲述了一个爱慕虚荣的上层社会寡妇Lady Susan为她自己和女儿寻找如意郎君的故事。
398,399,5.2,黑白,https://movie.douban.com/subject/25723093/,25723093,游坚煜,2016,"王传一,李妍憬,张静之,窦智孔","动作,犯罪",台湾,因为杀人而入狱的哥哥（窦智孔饰演），在出狱后想要金盆洗手，却奈何过往恩怨纠缠不放，当警察的弟弟（王传一饰），在号令之下执行任务，却将兄弟俩都卷进了黑白两道之间的斗争。
399,400,7.8,瑞士军刀男,https://movie.douban.com/subject/26437237/,26437237,丹·关,2016,"保罗·达诺,丹尼尔·雷德克里夫,玛丽·伊丽莎白·温斯特德,蒂莫西·尤里齐","喜剧,奇幻,冒险",美国,被困在荒岛上的汉克（保罗·达诺）在绝望上吊时，发现一具尸体（丹尼尔·雷德克里夫）被冲上沙滩。他把尸体当成朋友，给他取名曼尼，并发现这个新朋友不仅能说话，还像瑞士军刀一样具有五花八门的特异功能…… 这或许可以帮他逃出荒岛。
400,401,6.4,爵士灵魂,https://movie.douban.com/subject/1895849/,1895849,唐·钱德尔,2015,"唐·钱德尔,伊万·麦克格雷格,伊梅雅格特伊·科伦尼伊乐迪,勒凯斯·斯坦菲尔德","剧情,传记,音乐",美国,影片由唐·钱德尔自导自演，讲述一个与著名爵士音乐家、小号家迈尔斯·戴维斯有关的故事。
401,402,5.6,危城,https://movie.douban.com/subject/26125779/,26125779,陈木胜,2016,"刘青云,古天乐,彭于晏,吴京","剧情,动作,犯罪",中国大陆,时值国家内战、军阀割据的乱世时代，军阀少帅曹少璘（古天乐 饰）因杀害三条人命，被普城保卫团团长杨克难（刘青云 饰) 绳之于法。可曹家财雄势大，以强权震慑居民，曹家上校张亦（吴京 饰）得悉事件后，赶来普城取人，在城中遇上多年不见师弟马锋（彭于晏 饰），马锋是位武功高强的浪人，路见不平欲拔刀相助，可是却面临正义与兄弟情之抉择。
402,403,5.1,微微一笑很倾城,https://movie.douban.com/subject/26301582/,26301582,赵天宇,2016,"井柏然,杨颖,李沁,王思聪",爱情,中国大陆,"本片讲述了一对大学风云人物肖奈（井柏然 饰）和贝微微（杨颖 饰）在虚拟游戏与真实世界中相识相爱的故事。计算机系花贝微微热爱网络游戏，技术娴熟高超，是游戏排行榜上唯一的女玩家，而她却因为不爆照片被认为是人妖，“惨遭”游戏里的“老公”的抛弃。在“前夫”的婚礼现场，她偶遇了游戏里的第一高手“一笑奈何”，更让她出乎意料的是，这名大神竟然向她求婚。
游戏里的高手“一笑奈何”正是现实中著名的计算机系大神肖奈。在一次偶然邂逅里，他无意中见识到贝微微熟练的游戏操作，由此对她产生了不一样的情愫，而贝微微却完全没意识到爱神的降临。闻名于校园的肖奈大神，开始了线上线下、虚拟与现实中全方位地捕猎美人心。一段始于二次元的奇幻网游爱情，悄然开始……
本片改编自顾漫的同名小说。©豆瓣"
403,404,7.7,我被爸爸绑架了,https://movie.douban.com/subject/26820450/,26820450,岸善幸,2016,"妻夫木聪,丰岛花,木南晴夏,夏帆","剧情,家庭",日本,"一年一度的暑假终于到来了，小学生们欢天喜地，规划着多姿多彩的假期生活。不过女孩小春（丰岛花 饰）却有些闷闷不乐，两个月前妈妈（木南晴夏 饰）和吊儿郎当的窝囊废爸爸（妻夫木聪 饰）大吵一架，夫妻处于分居冷战状态。白天妈妈还要上班，虽然有时会将小春托付给妹妹裕子（夏帆 饰）照看，但多数时候还是小春孤零零一个人打发无聊漫长的时光。就在暑假第一天，发生了一件了不得的事。久未谋面的爸爸突然出现，带着女儿四处玩耍，并且半开玩笑半认真地说要绑架女儿。小春打心眼里瞧不起一事无成的废柴老爹，不过她还是和爸爸踏上了多姿多彩的绑架之旅……
本片根据角田光代的原作改编。©豆瓣"
404,405,7.7,High☆Speed! -Free! Starting Days-,https://movie.douban.com/subject/26350389/,26350389,武本康弘,2015,"岛崎信长,铃木达央,丰永利行,内山昂辉","动画,运动",日本,水と触れ合うことが好きな七瀬遙は、仲間の橘真琴と共に入学した岩鳶中学校で水泳部に入部。遙は、真琴と椎名旭、桐嶋郁弥でメドレーリレーのチームを組むことに。彼らは個性も考え方もバラバラで、全くうまくいかない。それでも遙はチームになるために必要なことを考え、互いを少しずつ知り、練習を積み重ねていく。
405,406,5.3,记忆迷局,https://movie.douban.com/subject/5327166/,5327166,帕梅拉·罗曼诺夫斯基,2015,"艾梅柏·希尔德,詹姆斯·弗兰科,艾德·哈里斯,克里斯蒂安·史莱特","剧情,犯罪,惊悚",美国,《阿德拉尔日记》根据斯蒂芬·埃利奥特的回忆录改编，弗兰科在片中扮演这位作家，他记录下了一起谋杀案的审判过程，这就是发生在2007年的著名程序员、Linux操作系统下ReiserFS文件系统开发者Hans Reiser的杀妻案。审查过程中，Reiser的好友，也是他妻子的前情人Sean Sturgeon承认自己曾经杀害过8个人，但这当中并不包括Reiser的妻子。这起错综复杂的杀妻案令人想起了影片《肖申克的救赎》。
406,407,6.7,使徒行者,https://movie.douban.com/subject/26336253/,26336253,文伟鸿,2016,"张家辉,古天乐,吴镇宇,佘诗曼","剧情,动作,犯罪",中国大陆,卧底阿钉（佘诗曼 饰）收到了一条神秘短信，追溯到神秘人郭铭的犯罪集团，其手下两名重臣少爷（古天乐 饰）和阿蓝（张家辉 饰）很可能是之前警队失联的卧底。而在捣灭犯罪集团的过程中，其中一人暴露身份也使这对情同手足的好兄弟陷入信任和生命危机。而卧底联络人Q Sir（吴镇宇 饰）和卧底阿钉也面多重危难。在迷雾中，一场激战蓄势待发……
407,408,6.4,黑暗宇宙,https://movie.douban.com/subject/26269333/,26269333,安德烈·祖拉斯基,2015,"萨宾·阿泽玛,让-弗朗索瓦·巴尔梅,Jonathan Genet,约翰·利伯欧",剧情,法国,根据波兰作家维托尔德·格姆布洛维茨的同名小说改编，讲述两个年轻人卷入了波兰小镇诡异离奇的事件之中。影片将亮相8月举办的意大利洛迦诺电影节。
408,409,8.3,心房客,https://movie.douban.com/subject/26356789/,26356789,塞缪尔·本谢区特,2015,"迈克尔·皮特,伊莎贝尔·于佩尔,瓦莱丽亚·布诺妮-泰特琪,古斯塔弗·德·科文","剧情,喜剧",法国,"故事发生在一幢破旧的老式公寓之中，少年查理（朱尔·本切特 Jules Benchetrit 饰）的对门搬来了一位名叫珍妮（伊莎贝尔·于佩尔 Isabelle Huppert 饰）的新邻居，珍妮曾是一名红极一时的女演员，如今已经过气。查理决定帮助珍妮获得一个对珍妮来说十分重要的角色。
某日，一位名叫约翰（迈克尔·皮特 Michael Pitt 饰）的宇航员因为轨道计算错误而在误打误撞之中降落到了公寓的楼顶，他敲响了独居老人哈密达（Tassadit Mandi 饰）家的门，和老人开始了一段为期三天的奇妙的同居生活。孤独的男子伯科威茨（古斯塔弗·德·科文 Gustave de Kervern 饰）因为意外而坐上了轮椅，在外出购物之时邂逅了正在抽烟休息的女护士（瓦莱丽亚·布诺妮-泰特琪 Valeria Bruni Tedeschi 饰），伯科威茨谎称自己是一名周游世界的摄影师，想要为护士拍一张照片。©豆瓣"
409,410,7.5,4等,https://movie.douban.com/subject/26303204/,26303204,郑址宇,2015,"朴海俊,柳在相,李恒娜","剧情,运动",韩国,小学游泳选手俊浩无论多么努力，却总是只能在比赛中位列第四名。他的母亲找到了前游泳冠军选手金光洙给俊浩进行私人训练。最终，金光洙的极端训练方式明显地提高了俊浩的比赛结果。
410,411,7.8,青春冒险王,https://movie.douban.com/subject/26163480/,26163480,米歇尔·贡德里,2015,"安格·达尔让,泰奥菲尔·巴奎特,奥黛丽·塔图,法比奥·泽诺尼",喜剧,法国,故事讲述两位少年自制“房车”，逃离父母，穿越法国。
411,412,5.7,进化岛,https://movie.douban.com/subject/26312147/,26312147,露西尔·哈兹哈利罗维克,2015,"罗珊妮·杜兰,茱莉-玛丽·帕芒提耶,尼西姆·勒纳尔","剧情,奇幻",法国,故事乖张离奇，讲述在一个只有男孩和妇女的小岛上，男孩正在接受一种奇怪治疗，小男孩尼古拉斯的潜水打破了原有的平衡。
412,413,6.1,只有我不在的街道,https://movie.douban.com/subject/26577938/,26577938,平川雄一朗,2016,"藤原龙也,有村架纯,及川光博,石田百合子",剧情,日本,"繁华大都会中，生活着完全没有名气的小漫画家藤沼悟（藤原龙也 饰）。日常里他靠在餐馆打工为生，平凡无奇的外表下却隐藏着一个奇特的能力。他总在不经意间进入“再上映”的状态，即当事故即将发生时，短时间下进入时空倒流。只有解决掉事故的关键点，才能让时间顺利流逝。在遭遇车祸后，家住北海道的妈妈来到悟的公寓，谁知不久妈妈却被人入室杀害。悟在躲避警察追捕中进入“再上映”，谁知竟然回到了1988年的小学时代。当时同镇名叫雏月加代（铃木梨央 饰）被连环杀手杀害，而悟最信赖的大哥哥白鸟润（林遣都 饰）则成为嫌疑犯。
仿佛就是为了阻止当年惨剧的发生，悟重新回到了一切悲剧的原点……©豆瓣"
