5,9:1,1558:1,1997:3.95,1998:4.481481481481482,"['1999:1', '2012:1', '2006:1']"
3,9:1,1672:1,1997:2.65,1998:4.481481481481482,"['2000:1', '2001:1']"
5,9:1,1638:1,1997:4.1,1998:4.481481481481482,"['2003:1', '2005:1', '2023:1']"
5,9:1,1534:1,1997:3.65,1998:4.481481481481482,"['2003:1', '2008:1', '2006:1']"
5,9:1,1573:1,1997:4.0,1998:4.481481481481482,"['2003:1', '2002:1']"
5,9:1,1636:1,1997:4.25,1998:4.481481481481482,"['1999:1', '2011:1']"
5,9:1,1701:1,1997:4.35,1998:4.481481481481482,"['1999:1', '2009:1', '2003:1']"
3,9:1,1647:1,1997:3.7,1998:4.481481481481482,"['1999:1', '2005:1', '2023:1']"
4,9:1,1899:1,1997:4.25,1998:4.481481481481482,"['1999:1', '2001:1', '2004:1']"
5,9:1,1996:1,1997:3.7,1998:4.481481481481482,"['1999:1', '2000:1', '2001:1']"
4,9:1,1525:1,1997:3.9,1998:4.481481481481482,"['1999:1', '2008:1']"
5,9:1,1616:1,1997:4.15,1998:4.481481481481482,"['1999:1', '2000:1']"
5,9:1,1523:1,1997:3.45,1998:4.481481481481482,"['1999:1', '2003:1', '2002:1']"
5,9:1,1406:1,1997:3.85,1998:4.481481481481482,"['2003:1', '2008:1', '2012:1']"
4,9:1,1872:1,1997:3.6,1998:4.481481481481482,"['1999:1', '2015:1']"
5,9:1,1635:1,1997:4.3,1998:4.481481481481482,"['1999:1', '2013:1']"
3,9:1,1450:1,1997:3.75,1998:4.481481481481482,"['2000:1', '2001:1']"
5,9:1,1478:1,1997:4.4,1998:4.481481481481482,"['1999:1', '2004:1', '2013:1']"
5,9:1,1633:1,1997:3.95,1998:4.481481481481482,"['1999:1', '2007:1', '2015:1']"
5,9:1,1909:1,1997:4.3,1998:4.481481481481482,"['1999:1', '2013:1']"
4,9:1,1896:1,1997:3.85,1998:4.481481481481482,"['1999:1', '2007:1']"
4,9:1,1607:1,1997:3.5,1998:4.481481481481482,"['2003:1', '2005:1']"
4,9:1,1641:1,1997:3.8,1998:4.481481481481482,"['1999:1', '2005:1']"
5,9:1,1858:1,1997:4.35,1998:4.481481481481482,['1999:1']
4,9:1,1620:1,1997:4.2,1998:4.481481481481482,"['1999:1', '2001:1', '2017:1']"
5,9:1,1798:1,1997:4.15,1998:4.481481481481482,"['1999:1', '2009:1', '2023:1']"
4,9:1,1851:1,1997:4.3,1998:4.481481481481482,"['1999:1', '2000:1']"
4,37:1,1558:1,1997:3.95,1998:3.4594594594594597,"['1999:1', '2012:1', '2006:1']"
3,37:1,1469:1,1997:3.25,1998:3.4594594594594597,"['1999:1', '2004:1', '2012:1']"
4,37:1,1580:1,1997:3.8,1998:3.4594594594594597,"['1999:1', '2001:1']"
2,37:1,1643:1,1997:3.0,1998:3.4594594594594597,"['2008:1', '2005:1', '2014:1']"
4,37:1,1928:1,1997:3.4,1998:3.4594594594594597,"['1999:1', '2000:1', '2012:1']"
3,37:1,1638:1,1997:4.1,1998:3.4594594594594597,"['2003:1', '2005:1', '2023:1']"
3,37:1,1490:1,1997:3.05,1998:3.4594594594594597,['2005:1']
4,37:1,1534:1,1997:3.65,1998:3.4594594594594597,"['2003:1', '2008:1', '2006:1']"
4,37:1,1573:1,1997:4.0,1998:3.4594594594594597,"['2003:1', '2002:1']"
4,37:1,1636:1,1997:4.25,1998:3.4594594594594597,"['1999:1', '2011:1']"
4,37:1,1701:1,1997:4.35,1998:3.4594594594594597,"['1999:1', '2009:1', '2003:1']"
2,37:1,1613:1,1997:2.0,1998:3.4594594594594597,"['2000:1', '2001:1']"
4,37:1,1522:1,1997:3.35,1998:3.4594594594594597,"['2003:1', '2008:1', '2014:1']"
4,37:1,1899:1,1997:4.25,1998:3.4594594594594597,"['1999:1', '2001:1', '2004:1']"
3,37:1,1918:1,1997:3.5,1998:3.4594594594594597,"['2002:1', '2005:1', '2014:1']"
3,37:1,1860:1,1997:3.4,1998:3.4594594594594597,"['1999:1', '2000:1']"
3,37:1,1549:1,1997:3.1,1998:3.4594594594594597,"['2007:1', '2005:1']"
4,37:1,1525:1,1997:3.9,1998:3.4594594594594597,"['1999:1', '2008:1']"
3,37:1,1697:1,1997:3.45,1998:3.4594594594594597,"['2000:1', '2012:1', '2013:1']"
3,37:1,1616:1,1997:4.15,1998:3.4594594594594597,"['1999:1', '2000:1']"
3,37:1,1512:1,1997:2.75,1998:3.4594594594594597,"['2003:1', '2010:1', '2008:1']"
3,37:1,1901:1,1997:3.25,1998:3.4594594594594597,['2014:1']
3,37:1,1604:1,1997:3.65,1998:3.4594594594594597,"['2003:1', '2008:1', '2006:1']"
3,37:1,1440:1,1997:3.05,1998:3.4594594594594597,"['2003:1', '2002:1', '2012:1']"
3,37:1,1762:1,1997:3.55,1998:3.4594594594594597,"['1999:1', '2002:1', '2007:1']"
4,37:1,1597:1,1997:3.35,1998:3.4594594594594597,"['2012:1', '2006:1']"
4,37:1,1497:1,1997:3.65,1998:3.4594594594594597,"['1999:1', '2012:1', '2006:1']"
5,37:1,1812:1,1997:3.9,1998:3.4594594594594597,"['2000:1', '2012:1', '2006:1']"
3,37:1,1664:1,1997:3.65,1998:3.4594594594594597,"['2003:1', '2007:1', '2005:1']"
4,37:1,1406:1,1997:3.85,1998:3.4594594594594597,"['2003:1', '2008:1', '2012:1']"
3,37:1,1566:1,1997:3.8,1998:3.4594594594594597,"['2000:1', '2004:1', '2012:1']"
4,37:1,1635:1,1997:4.3,1998:3.4594594594594597,"['1999:1', '2013:1']"
4,37:1,1756:1,1997:3.75,1998:3.4594594594594597,"['2000:1', '2004:1', '2006:1']"
3,37:1,1531:1,1997:3.75,1998:3.4594594594594597,"['2000:1', '2004:1']"
2,37:1,1567:1,1997:3.3,1998:3.4594594594594597,"['2000:1', '2004:1', '2006:1']"
3,37:1,1677:1,1997:3.75,1998:3.4594594594594597,"['2004:1', '2012:1', '2006:1']"
4,37:1,1633:1,1997:3.95,1998:3.4594594594594597,"['1999:1', '2007:1', '2015:1']"
3,37:1,1607:1,1997:3.5,1998:3.4594594594594597,"['2003:1', '2005:1']"
4,37:1,1641:1,1997:3.8,1998:3.4594594594594597,"['1999:1', '2005:1']"
4,37:1,1858:1,1997:4.35,1998:3.4594594594594597,['1999:1']
4,37:1,1620:1,1997:4.2,1998:3.4594594594594597,"['1999:1', '2001:1', '2017:1']"
3,37:1,1851:1,1997:4.3,1998:3.4594594594594597,"['1999:1', '2000:1']"
4,37:1,1492:1,1997:3.85,1998:3.4594594594594597,"['1999:1', '2000:1']"
4,37:1,1782:1,1997:4.35,1998:3.4594594594594597,['1999:1']
3,37:1,1467:1,1997:3.55,1998:3.4594594594594597,"['2000:1', '2004:1', '2006:1']"
4,37:1,1739:1,1997:4.15,1998:3.4594594594594597,"['2000:1', '2004:1', '2017:1']"
3,37:1,1437:1,1997:3.45,1998:3.4594594594594597,"['2006:1', '2008:1']"
3,37:1,1621:1,1997:3.2,1998:3.4594594594594597,"['2000:1', '2005:1']"
4,37:1,1596:1,1997:3.6,1998:3.4594594594594597,"['1999:1', '2022:1', '2012:1']"
4,37:1,1628:1,1997:4.45,1998:3.4594594594594597,"['1999:1', '2013:1']"
4,37:1,1775:1,1997:3.35,1998:3.4594594594594597,['2005:1']
3,37:1,1839:1,1997:3.9,1998:3.4594594594594597,"['1999:1', '2003:1', '2004:1']"
5,37:1,1747:1,1997:4.1,1998:3.4594594594594597,"['1999:1', '2000:1']"
3,37:1,1897:1,1997:3.85,1998:3.4594594594594597,"['1999:1', '2000:1']"
3,37:1,1963:1,1997:3.85,1998:3.4594594594594597,"['2003:1', '2001:1', '2008:1']"
4,37:1,1930:1,1997:3.4,1998:3.4594594594594597,"['1999:1', '2000:1']"
4,37:1,1751:1,1997:3.6,1998:3.4594594594594597,['1999:1']
3,37:1,1417:1,1997:2.95,1998:3.4594594594594597,"['2003:1', '2000:1', '2008:1']"
3,37:1,1501:1,1997:3.6,1998:3.4594594594594597,"['2004:1', '2012:1', '2006:1']"
3,37:1,1577:1,1997:3.35,1998:3.4594594594594597,"['1999:1', '2003:1', '2007:1']"
3,37:1,1990:1,1997:3.0,1998:3.4594594594594597,"['2000:1', '2012:1']"
3,37:1,1949:1,1997:3.65,1998:3.4594594594594597,"['1999:1', '2008:1', '2004:1']"
5,37:1,1795:1,1997:3.9,1998:3.4594594594594597,"['2000:1', '2012:1', '2016:1']"
3,37:1,1913:1,1997:3.2,1998:3.4594594594594597,"['1999:1', '2014:1']"
3,37:1,1939:1,1997:3.15,1998:3.4594594594594597,"['2000:1', '2003:1', '2008:1']"
4,37:1,1912:1,1997:4.05,1998:3.4594594594594597,['2000:1']
3,37:1,1696:1,1997:3.3,1998:3.4594594594594597,"['2003:1', '2005:1', '2006:1']"
3,37:1,1837:1,1997:3.1,1998:3.4594594594594597,"['2004:1', '2007:1']"
4,37:1,1791:1,1997:4.0,1998:3.4594594594594597,"['1999:1', '2000:1', '2006:1']"
3,37:1,1760:1,1997:3.1,1998:3.4594594594594597,"['1999:1', '2003:1']"
4,37:1,1809:1,1997:3.5,1998:3.4594594594594597,"['1999:1', '2000:1', '2001:1']"
4,37:1,1810:1,1997:3.3,1998:3.4594594594594597,"['1999:1', '2002:1', '2007:1']"
3,37:1,1584:1,1997:3.9,1998:3.4594594594594597,"['1999:1', '2000:1', '2013:1']"
3,37:1,1792:1,1997:3.6,1998:3.4594594594594597,"['1999:1', '2000:1', '2004:1']"
3,38:1,1558:1,1997:3.95,1998:2.9074074074074074,"['1999:1', '2012:1', '2006:1']"
1,38:1,1469:1,1997:3.25,1998:2.9074074074074074,"['1999:1', '2004:1', '2012:1']"
4,38:1,1986:1,1997:4.2,1998:2.9074074074074074,"['1999:1', '2021:1']"
3,38:1,1672:1,1997:2.65,1998:2.9074074074074074,"['2000:1', '2001:1']"
3,38:1,1928:1,1997:3.4,1998:2.9074074074074074,"['1999:1', '2000:1', '2012:1']"
